run_num,leg_damage_scenario_index,num_iterations,best_index,best_performance
4,1,6,205,3.2905659437258894
5,1,6,205,3.2905659437258894
6,1,6,205,3.2905659437258894
7,1,6,205,3.2905659437258894
8,1,6,205,3.2905659437258894
9,1,6,205,3.2905659437258894
10,1,6,205,3.2905659437258894
11,1,6,205,3.2905659437258894
12,1,6,205,3.2905659437258894
13,1,6,205,3.2905659437258894
14,1,6,205,3.2905659437258894
15,1,6,205,3.2905659437258894
16,1,6,205,3.2905659437258894
17,1,6,205,3.2905659437258894
18,1,6,205,3.2905659437258894
19,1,6,205,3.2905659437258894
0,1,17,431,2.715931837450645
1,1,17,431,2.715931837450645
2,1,17,431,2.715931837450645
3,1,17,431,2.715931837450645
4,1,17,431,2.715931837450645
5,1,17,431,2.715931837450645
6,1,17,431,2.715931837450645
7,1,17,431,2.715931837450645
8,1,17,431,2.715931837450645
9,1,17,431,2.715931837450645
10,1,17,431,2.715931837450645
11,1,17,431,2.715931837450645
12,1,17,431,2.715931837450645
13,1,17,431,2.715931837450645
14,1,17,431,2.715931837450645
15,1,17,431,2.715931837450645
16,1,17,431,2.715931837450645
17,1,17,431,2.715931837450645
18,1,17,431,2.715931837450645
19,1,17,431,2.715931837450645
0,1,4,1636,3.553208081081689
1,1,4,1636,3.553208081081689
2,1,4,1636,3.553208081081689
3,1,4,1636,3.553208081081689
4,1,4,1636,3.553208081081689
5,1,4,1636,3.553208081081689
6,1,4,1636,3.553208081081689
7,1,4,1636,3.553208081081689
8,1,4,1636,3.553208081081689
9,1,4,1636,3.553208081081689
10,1,4,1636,3.553208081081689
11,1,4,1636,3.553208081081689
12,1,4,1636,3.553208081081689
13,1,4,1636,3.553208081081689
14,1,4,1636,3.553208081081689
15,1,4,1636,3.553208081081689
16,1,4,1636,3.553208081081689
17,1,4,1636,3.553208081081689
18,1,4,1636,3.553208081081689
19,1,4,1636,3.553208081081689
0,1,3,4161,3.5888061037120607
1,1,3,4161,3.5888061037120607
2,1,3,4161,3.5888061037120607
3,1,3,4161,3.5888061037120607
4,1,3,4161,3.5888061037120607
5,1,3,4161,3.5888061037120607
6,1,3,4161,3.5888061037120607
7,1,3,4161,3.5888061037120607
8,1,3,4161,3.5888061037120607
9,1,3,4161,3.5888061037120607
10,1,3,4161,3.5888061037120607
11,1,3,4161,3.5888061037120607
12,1,3,4161,3.5888061037120607
13,1,3,4161,3.5888061037120607
14,1,3,4161,3.5888061037120607
15,1,3,4161,3.5888061037120607
16,1,3,4161,3.5888061037120607
17,1,3,4161,3.5888061037120607
18,1,3,4161,3.5888061037120607
19,1,3,4161,3.5888061037120607
0,2,20,22836,2.9598144433862097
1,2,20,22836,2.9598144433862097
2,2,20,22836,2.9598144433862097
3,2,20,22836,2.9598144433862097
4,2,20,22836,2.9598144433862097
5,2,20,22836,2.9598144433862097
